"Date","Value"
"2015-09-13",4009710000
"2015-09-14",3992050000
"2015-09-15",3986500000
"2015-09-16",3943670000
"2015-09-17",3969540000
"2015-09-18",4024580000
"2015-09-19",4003770000
"2015-09-20",4011990000
"2015-09-21",3948000000
"2015-09-22",3982650000
"2015-09-23",3975170000
"2015-09-24",4031640000
"2015-09-25",4040330000
"2015-09-26",4001270000
"2015-09-27",3993640000
"2015-09-28",4063240000
"2015-09-29",4040230000
"2015-09-30",4020950000
"2015-10-01",4037320000
"2015-10-02",4030790000
"2015-10-03",4054800000
"2015-10-04",4032780000
"2015-10-05",4032220000
"2015-10-06",4144400000
"2015-10-07",4140180000
"2015-10-08",4095630000
"2015-10-09",4110340000
"2015-10-10",4130030000
"2015-10-11",4155530000
"2015-10-12",4153950000
"2015-10-13",4193780000
"2015-10-14",4248630000
"2015-10-15",4267070000
"2015-10-16",4407610000
"2015-10-17",4409210000
"2015-10-18",4381840000
"2015-10-19",4372120000
"2015-10-20",4476130000
"2015-10-21",4423900000
"2015-10-22",4514540000
"2015-10-23",4570260000
"2015-10-24",4610750000
"2015-10-25",4815900000
"2015-10-26",4677470000
"2015-10-27",4847400000
"2015-10-28",4953880000
"2015-10-29",5218310000
"2015-10-30",5472770000
"2015-10-31",5223900000
"2015-11-01",5248170000
"2015-11-02",5632620000
"2015-11-03",6822240000
"2015-11-04",7616740000
"2015-11-05",6549890000
"2015-11-06",6222940000
"2015-11-07",6318530000
"2015-11-08",6248010000
"2015-11-09",6162210000
"2015-11-10",5760320000
"2015-11-11",5101670000
"2015-11-12",5393760000
"2015-11-13",5470330000
"2015-11-14",5444310000
"2015-11-15",5287290000
"2015-11-16",5404770000
"2015-11-17",5496120000
"2015-11-18",5473690000
"2015-11-19",5390350000
"2015-11-20",5265010000
"2015-11-21",5357900000
"2015-11-22",5312650000
"2015-11-23",5322540000
"2015-11-24",5289400000
"2015-11-25",5349850000
"2015-11-26",5718920000
"2015-11-27",5870980000
"2015-11-28",5812280000
"2015-11-29",5945110000
"2015-11-30",6121400000
"2015-12-01",5927600000
"2015-12-02",5860070000
"2015-12-03",5950980000
"2015-12-04",5934630000
"2015-12-05",6209890000
"2015-12-06",6463460000
"2015-12-07",6510940000
"2015-12-08",6506640000
"2015-12-09",6843240000
"2015-12-10",6908430000
"2015-12-11",7282520000
"2015-12-12",7055920000
"2015-12-13",7279500000
"2015-12-14",7383790000
"2015-12-15",7535540000
"2015-12-16",7441990000
"2015-12-17",7452040000
"2015-12-18",7520640000
"2015-12-19",7524540000
"2015-12-20",7234560000
"2015-12-21",7186650000
"2015-12-22",7159340000
"2015-12-23",7247610000
"2015-12-24",7413750000
"2015-12-25",7456330000
"2015-12-26",6834650000
"2015-12-27",6908120000
"2015-12-28",6979640000
"2015-12-29",7091360000
"2015-12-30",7040440000
"2015-12-31",7089520000
"2016-01-01",7128950000
"2016-01-02",7152490000
"2016-01-03",7042790000
"2016-01-04",7130680000
"2016-01-05",7113820000
"2016-01-06",7095640000
"2016-01-07",7473430000
"2016-01-08",7377030000
"2016-01-09",7407290000
"2016-01-10",7338950000
"2016-01-11",7387390000
"2016-01-12",7387440000
"2016-01-13",7104030000
"2016-01-14",7153870000
"2016-01-15",6526620000
"2016-01-16",6210560000
"2016-01-17",6458870000
"2016-01-18",6467530000
"2016-01-19",6376410000
"2016-01-20",6822560000
"2016-01-21",6811870000
"2016-01-22",6446580000
"2016-01-23",6561530000
"2016-01-24",6811880000
"2016-01-25",6650890000
"2016-01-26",6728950000
"2016-01-27",6825750000
"2016-01-28",6608880000
"2016-01-29",6564920000
"2016-01-30",6536730000
"2016-01-31",6500200000
"2016-02-01",6437790000
"2016-02-02",6458690000
"2016-02-03",6422310000
"2016-02-04",6676440000
"2016-02-05",6723200000
"2016-02-06",6550750000
"2016-02-07",6616890000
"2016-02-08",6639310000
"2016-02-09",6654660000
"2016-02-10",6795060000
"2016-02-11",6842130000
"2016-02-12",6979440000
"2016-02-13",6984840000
"2016-02-14",7245540000
"2016-02-15",7265830000
"2016-02-16",7264190000
"2016-02-17",7440490000
"2016-02-18",7448730000
"2016-02-19",7459540000
"2016-02-20",7753860000
"2016-02-21",7706860000
"2016-02-22",7821910000
"2016-02-23",7546690000
"2016-02-24",7675610000
"2016-02-25",7639200000
"2016-02-26",7673020000
"2016-02-27",7840220000
"2016-02-28",7874180000
"2016-02-29",7895830000
"2016-03-01",7927190000
"2016-03-02",7953450000
"2016-03-03",7911790000
"2016-03-04",7906150000
"2016-03-05",7792160000
"2016-03-06",7861820000
"2016-03-07",7877110000
"2016-03-08",7878160000
"2016-03-09",7978170000
"2016-03-10",8101640000
"2016-03-11",8189880000
"2016-03-12",8156640000
"2016-03-13",8541680000
"2016-03-14",8270610000
"2016-03-15",8198480000
"2016-03-16",8207180000
"2016-03-17",8115500000
"2016-03-18",7838650000
"2016-03-19",7897300000
"2016-03-20",7921880000
"2016-03-21",8051860000
"2016-03-22",8100670000
"2016-03-23",8200520000
"2016-03-24",8130860000
"2016-03-25",8092230000
"2016-03-26",8108080000
"2016-03-27",8213820000
"2016-03-28",8265350000
"2016-03-29",8118950000
"2016-03-30",8130720000
"2016-03-31",8132230000
"2016-04-01",8142500000
"2016-04-02",8198850000
"2016-04-03",8211700000
"2016-04-04",8211830000
